ID,Variable 1,Dependency,Variable 2
362,X103,->,X174
363,X104,->,X108
364,X104,->,X135
365,X104,->,X146
366,X109,->,X155
367,X114,->,X126
368,X116,->,X159
369,X119,->,X146
370,X120,->,X124
371,X120,->,X128
372,X120,->,X163
373,X120,->,X184
374,X123,->,X172
375,X125,->,X144
376,X126,->,X135
377,X126,->,X143
378,X126,->,X166
379,X126,->,X167
380,X126,->,X174
381,X127,->,X168
382,X130,->,X148
383,X141,->,X145
384,X141,->,X161
385,X142,->,X188
386,X142,->,X193
387,X144,->,X158
388,X148,->,X162
389,X148,->,X189
390,X155,->,X197
391,X158,->,X168
392,X158,->,X199
393,X163,->,X181
394,X168,->,X192
395,X175,->,X179
396,X179,->,X190
